date,clicks,impressions,ctr
2026-03-01,0.0,0.0,
2026-03-02,0.0,0.0,
2026-03-03,0.0,0.0,
2026-03-04,0.0,0.0,
2026-03-05,0.0,0.0,
2026-03-06,0.0,0.0,
2026-03-07,0.0,0.0,
2026-03-08,0.0,0.0,
2026-03-09,0.0,0.0,
2026-03-10,0.0,0.0,
2026-03-11,0.0,0.0,
2026-03-12,0.0,0.0,
2026-03-13,0.0,0.0,
2026-03-14,0.0,0.0,
2026-03-15,0.0,0.0,
2026-03-16,0.0,0.0,
2026-03-17,0.0,0.0,
2026-03-18,0.0,0.0,
2026-03-19,0.0,0.0,
2026-03-20,0.0,0.0,
2026-03-21,0.0,0.0,
2026-03-22,0.0,0.0,
2026-03-23,0.0,0.0,
2026-03-24,0.0,0.0,
2026-03-25,0.0,0.0,
2026-03-26,0.0,0.0,
2026-03-27,0.0,0.0,
2026-03-28,0.0,0.0,
2026-03-29,0.0,0.0,
2026-03-30,0.0,0.0,
2026-03-31,0.0,0.0,
2026-04-01,0.0,0.0,
2026-04-02,0.0,0.0,
2026-04-03,0.0,0.0,
2026-04-04,0.0,0.0,
2026-04-05,0.0,0.0,
2026-04-06,0.0,0.0,
2026-04-07,0.0,0.0,
2026-04-08,0.0,0.0,
2026-04-09,0.0,0.0,
2026-04-10,0.0,0.0,
2026-04-11,0.0,0.0,
2026-04-12,0.0,0.0,
2026-04-13,0.0,0.0,
2026-04-14,0.0,0.0,
2026-04-15,0.0,0.0,
2026-04-16,0.0,0.0,
2026-04-17,0.0,0.0,
2026-04-18,0.0,0.0,
2026-04-19,0.0,0.0,
2026-04-20,0.0,0.0,
2026-04-21,0.0,0.0,
2026-04-22,0.0,0.0,
2026-04-23,0.0,0.0,
2026-04-24,0.0,0.0,
2026-04-25,0.0,0.0,
2026-04-26,0.0,0.0,
2026-04-27,0.0,0.0,
2026-04-28,0.0,0.0,
2026-04-29,0.0,0.0,
2026-04-30,0.0,0.0,
2026-05-01,0.0,0.0,
2026-05-02,0.0,0.0,
2026-05-03,0.0,0.0,
2026-05-04,0.0,0.0,
2026-05-05,0.0,0.0,
2026-05-06,0.0,0.0,
2026-05-07,0.0,0.0,
2026-05-08,0.0,0.0,
2026-05-09,0.0,0.0,
2026-05-10,0.0,0.0,
2026-05-11,0.0,0.0,
2026-05-12,0.0,0.0,
2026-05-13,0.0,0.0,
2026-05-14,0.0,0.0,
2026-05-15,0.0,0.0,
2026-05-16,0.0,0.0,
2026-05-17,0.0,0.0,
2026-05-18,0.0,0.0,
2026-05-19,0.0,0.0,
2026-05-20,0.0,0.0,
2026-05-21,0.0,0.0,
2026-05-22,0.0,0.0,
2026-05-23,0.0,0.0,
2026-05-24,0.0,0.0,
2026-05-25,0.0,0.0,
2026-05-26,0.0,0.0,
2026-05-27,0.0,0.0,
2026-05-28,0.0,0.0,
2026-05-29,0.0,0.0,
2026-05-30,0.0,0.0,
2026-05-31,0.0,0.0,
2026-06-01,0.0,0.0,
2026-06-02,0.0,0.0,
2026-06-03,0.0,0.0,
2026-06-04,0.0,0.0,
2026-06-05,0.0,0.0,
2026-06-06,0.0,0.0,
2026-06-07,0.0,0.0,
2026-06-08,0.0,0.0,
2026-06-09,0.0,0.0,
2026-06-10,0.0,0.0,
2026-06-11,0.0,0.0,
2026-06-12,0.0,0.0,
2026-06-13,0.0,0.0,
2026-06-14,0.0,0.0,
2026-06-15,0.0,0.0,
2026-06-16,0.0,0.0,
2026-06-17,0.0,0.0,
2026-06-18,0.0,0.0,
2026-06-19,0.0,0.0,
2026-06-20,0.0,0.0,
2026-06-21,0.0,0.0,
2026-06-22,0.0,0.0,
2026-06-23,0.0,0.0,
2026-06-24,0.0,0.0,
2026-06-25,0.0,0.0,
2026-06-26,0.0,0.0,
2026-06-27,0.0,0.0,
2026-06-28,0.0,0.0,
2026-06-29,0.0,0.0,
2026-06-30,0.0,0.0,
2026-07-01,0.0,0.0,
2026-07-02,0.0,0.0,
2026-07-03,0.0,0.0,
2026-07-04,0.0,0.0,
2026-07-05,0.0,0.0,
2026-07-06,0.0,0.0,
2026-07-07,0.0,0.0,
2026-07-08,0.0,0.0,
2026-07-09,0.0,0.0,
2026-07-10,0.0,0.0,
2026-07-11,0.0,0.0,
2026-07-12,0.0,0.0,
2026-07-13,12.0,390.0,0.0308
2026-07-14,0.0,0.0,
2026-07-15,0.0,0.0,
2026-07-16,0.0,0.0,
2026-07-17,0.0,0.0,
2026-07-18,0.0,0.0,
2026-07-19,201.0,2999.0,0.067
2026-07-20,5.0,44.0,0.11359999999999999
2026-07-21,1.0,16.0,0.0625
2026-07-22,0.0,0.0,
2026-07-23,133.0,1457.0,0.0913
2026-07-24,67.0,578.0,0.1159
2026-07-25,203.0,2044.0,0.0993
2026-07-26,2895.0,36484.0,0.0793
